country, daily, viral, weekly
Global,/playlist/37i9dQZEVXbMDoHDwVN2tF,/playlist/37i9dQZEVXbLiRSasKsNU9,/playlist/37i9dQZEVXbNG2KDcFcKOF
Argentina,/playlist/37i9dQZEVXbMMy2roB9myp,/playlist/37i9dQZEVXbJajpaXyaKll,/playlist/37i9dQZEVXbKPTKrnFPD0G
Australia,/playlist/37i9dQZEVXbJPcfkRz0wJ0,/playlist/37i9dQZEVXbO5MSE9RdfN2,/playlist/37i9dQZEVXbK4fwx2r07XW
Austria,/playlist/37i9dQZEVXbKNHh6NIXu36,/playlist/37i9dQZEVXbKxYYIUIgn7V,/playlist/37i9dQZEVXbM1EaZ0igDlz
Belarus,/playlist/37i9dQZEVXbIYfjSLbWr4V,/playlist/37i9dQZEVXbK2SUzp56yYx,/playlist/37i9dQZEVXbLRLeF2cVSaP
Belgium,/playlist/37i9dQZEVXbJNSeeHswcKB,/playlist/37i9dQZEVXbJx9hUtTN0Sj,/playlist/37i9dQZEVXbND4ZYa46PaA
Bolivia,/playlist/37i9dQZEVXbJqfMFK4d691,/playlist/37i9dQZEVXbMTKZuy8ORFV,
Brazil,/playlist/37i9dQZEVXbMXbN3EUUhlg,/playlist/37i9dQZEVXbMOkSwG072hV,/playlist/37i9dQZEVXbKzoK95AbRy9
Bulgaria,/playlist/37i9dQZEVXbNfM2w2mq1B8,/playlist/37i9dQZEVXbJcpVBLdFV7m,
Canada,/playlist/37i9dQZEVXbKj23U1GF4IR,/playlist/37i9dQZEVXbKfIuOAZrk7G,/playlist/37i9dQZEVXbMda2apknTqH
Chile,/playlist/37i9dQZEVXbL0GavIqMTeb,/playlist/37i9dQZEVXbJs8e2vk15a8,/playlist/37i9dQZEVXbLJ0paT1JkgZ
Colombia,/playlist/37i9dQZEVXbOa2lmxNORXQ,/playlist/37i9dQZEVXbKrooeK9WSFF,/playlist/37i9dQZEVXbL1Fl8vdBUba
Costa Rica,/playlist/37i9dQZEVXbMZAjGMynsQX,/playlist/37i9dQZEVXbKOefHPXPMyf,
Czech Republic,/playlist/37i9dQZEVXbIP3c3fqVrJY,/playlist/37i9dQZEVXbMBUm3g7j4Kb,/playlist/37i9dQZEVXbLKI6MPixefZ
Denmark,/playlist/37i9dQZEVXbL3J0k32lWnN,/playlist/37i9dQZEVXbMA8BIYDeMkD,/playlist/37i9dQZEVXbMw2iUtFR5Eq
Dominican Republic,/playlist/37i9dQZEVXbKAbrMR8uuf7,/playlist/37i9dQZEVXbJWZV7aRNQck,/playlist/37i9dQZEVXbMPoK06pe7d6
Ecuador,/playlist/37i9dQZEVXbJlM6nvL1nD1,/playlist/37i9dQZEVXbJpRQ294oZ9N,/playlist/37i9dQZEVXbJPVQvqZqpcM
Egypt,/playlist/37i9dQZEVXbLn7RQmT5Xv2,/playlist/37i9dQZEVXbJSvmuZN9Jja,/playlist/37i9dQZEVXbMy2EcFg5F9m
El Salvador,/playlist/37i9dQZEVXbLxoIml4MYkT,/playlist/37i9dQZEVXbLo3yC8XJf1e,
Estonia,/playlist/37i9dQZEVXbLesry2Qw2xS,/playlist/37i9dQZEVXbK4KA2JSuft7,
Finland,/playlist/37i9dQZEVXbMxcczTSoGwZ,/playlist/37i9dQZEVXbMBNcyQCfU4w,/playlist/37i9dQZEVXbJQ9kF73GOT2
France,/playlist/37i9dQZEVXbIPWwFssbupI,/playlist/37i9dQZEVXbJmRv5TqJW16,/playlist/37i9dQZEVXbKQ1ogMOyW9N
Germany,/playlist/37i9dQZEVXbJiZcmkrIHGU,/playlist/37i9dQZEVXbNv6cjoMVCyg,/playlist/37i9dQZEVXbK8BKKMArIyl
Greece,/playlist/37i9dQZEVXbJqdarpmTJDL,/playlist/37i9dQZEVXbLOov4J0GutU,
Guatemala,/playlist/37i9dQZEVXbLy5tBFyQvd4,/playlist/37i9dQZEVXbNF1heNYHDnE,/playlist/37i9dQZEVXbJHSzlHx2ZJU
Honduras,/playlist/37i9dQZEVXbJp9wcIM9Eo5,/playlist/37i9dQZEVXbNpKdqfZ9Upp,
Hong Kong,/playlist/37i9dQZEVXbLwpL8TjsxOG,/playlist/37i9dQZEVXbKXd6qahcpCg,/playlist/37i9dQZEVXbMdvweCgpBAe
Hungary,/playlist/37i9dQZEVXbNHwMxAkvmF8,/playlist/37i9dQZEVXbLuey1EKVv9I,/playlist/37i9dQZEVXbMYsavqzfk6k
Iceland,/playlist/37i9dQZEVXbKMzVsSGQ49S,/playlist/37i9dQZEVXbMHnoaLVkVuk,
India,/playlist/37i9dQZEVXbLZ52XmnySJg,/playlist/37i9dQZEVXbK4NvPi6Sxit,/playlist/37i9dQZEVXbMWDif5SCBJq
Indonesia,/playlist/37i9dQZEVXbObFQZ3JLcXt,/playlist/37i9dQZEVXbKpV6RVDTWcZ,/playlist/37i9dQZEVXbIZK8aUquyx8
Ireland,/playlist/37i9dQZEVXbKM896FDX8L1,/playlist/37i9dQZEVXbLzhUVGQUCoe,/playlist/37i9dQZEVXbJIvhIOxXxdp
Israel,/playlist/37i9dQZEVXbJ6IpvItkve3,/playlist/37i9dQZEVXbNGlbFNNXxgC,/playlist/37i9dQZEVXbJ5J1TrbkAF9
Italy,/playlist/37i9dQZEVXbIQnj7RRhdSX,/playlist/37i9dQZEVXbKbvcwe5owJ1,/playlist/37i9dQZEVXbJUPkgaWZcWG
Japan,/playlist/37i9dQZEVXbKXQ4mDTEBXq,/playlist/37i9dQZEVXbINTEnbFeb8d,/playlist/37i9dQZEVXbKqiTGXuCOsB
Kazakhstan,/playlist/37i9dQZEVXbM472oKPNKzS,/playlist/37i9dQZEVXbMS8ULOsBprs,/playlist/37i9dQZEVXbLeBcWrdps2V
Latvia,/playlist/37i9dQZEVXbJWuzDrTxbKS,/playlist/37i9dQZEVXbIUY6VUoboP4,
Lithuania,/playlist/37i9dQZEVXbMx56Rdq5lwc,/playlist/37i9dQZEVXbLDLOTfCtAUM,
Luxembourg,/playlist/37i9dQZEVXbKGcyg6TFGx6,/playlist/37i9dQZEVXbJ9SRaVj0yDF,
Malaysia,/playlist/37i9dQZEVXbJlfUljuZExa,/playlist/37i9dQZEVXbLRmg3qDbY1H,/playlist/37i9dQZEVXbKcS4rq3mEhp
Mexico,/playlist/37i9dQZEVXbO3qyFxbkOE1,/playlist/37i9dQZEVXbLuUZrygauiA,/playlist/37i9dQZEVXbKUoIkUXteF6
Morocco,/playlist/37i9dQZEVXbJU9eQpX8gPT,/playlist/37i9dQZEVXbIVezQItttaL,/playlist/37i9dQZEVXbNM8vS9cIqAG
Netherlands,/playlist/37i9dQZEVXbKCF6dqVpDkS,/playlist/37i9dQZEVXbMQaPQjt027d,/playlist/37i9dQZEVXbK4BFAukDzj3
New Zealand,/playlist/37i9dQZEVXbM8SIrkERIYl,/playlist/37i9dQZEVXbJ7gPAehey5W,/playlist/37i9dQZEVXbIWlLQoMVEFp
Nicaragua,/playlist/37i9dQZEVXbISk8kxnzfCq,/playlist/37i9dQZEVXbKgCVIE0PTOD,
Nigeria,/playlist/37i9dQZEVXbKY7jLzlJ11V,/playlist/37i9dQZEVXbM3VfeOze6rq,/playlist/37i9dQZEVXbLw80jjcctV1
Norway,/playlist/37i9dQZEVXbJvfa0Yxg7E7,/playlist/37i9dQZEVXbOcsE2WCaJa2,/playlist/37i9dQZEVXbLWYFZ5CkSvr
Pakistan,/playlist/37i9dQZEVXbJkgIdfsJyTw,/playlist/37i9dQZEVXbNP8iUSeeWnH,/playlist/37i9dQZEVXbNy9tB5elXf1
Panama,/playlist/37i9dQZEVXbKypXHVwk1f0,/playlist/37i9dQZEVXbMIO7B1pcKUy,/playlist/37i9dQZEVXbNSiWnkYnziz
Paraguay,/playlist/37i9dQZEVXbNOUPGj7tW6T,/playlist/37i9dQZEVXbNxY4E5g33Gy,
Peru,/playlist/37i9dQZEVXbJfdy5b0KP7W,/playlist/37i9dQZEVXbN7gfhgaomhA,/playlist/37i9dQZEVXbMGcjiWgg253
Philippines,/playlist/37i9dQZEVXbNBz9cRCSFkY,/playlist/37i9dQZEVXbJv2Mvelmc3I,/playlist/37i9dQZEVXbJVKdmjH0pON
Poland,/playlist/37i9dQZEVXbN6itCcaL3Tt,/playlist/37i9dQZEVXbNGGDnE9UFTF,/playlist/37i9dQZEVXbMZ5PAcNTDXd
Portugal,/playlist/37i9dQZEVXbKyJS56d1pgi,/playlist/37i9dQZEVXbKHoaIcElSSA,
Romania,/playlist/37i9dQZEVXbNZbJ6TZelCq,/playlist/37i9dQZEVXbNwDVyEEfWV3,/playlist/37i9dQZEVXbMeCoUmQDLUW
Saudi Arabia,/playlist/37i9dQZEVXbLrQBcXqUtaC,/playlist/37i9dQZEVXbMq8xkWZE6se,/playlist/37i9dQZEVXbO839WGRmpu1
Singapore,/playlist/37i9dQZEVXbK4gjvS1FjPY,/playlist/37i9dQZEVXbJVi45MafAu0,/playlist/37i9dQZEVXbN66FupT0MuX
Slovakia,/playlist/37i9dQZEVXbKIVTPX9a2Sb,/playlist/37i9dQZEVXbK3Iy2zvpfp4,/playlist/37i9dQZEVXbMwW10JmAnzE
South Africa,/playlist/37i9dQZEVXbMH2jvi6jvjk,/playlist/37i9dQZEVXbNaCk6h5bujZ,/playlist/37i9dQZEVXbJV3H3OfCN1z
South Korea,/playlist/37i9dQZEVXbNxXF4SkHj9F,/playlist/37i9dQZEVXbM1H8L6Tttw9,/playlist/37i9dQZEVXbJZGli0rRP3r
Spain,/playlist/37i9dQZEVXbNFJfN1Vw8d9,/playlist/37i9dQZEVXbMfVLvbaC3bj,/playlist/37i9dQZEVXbJwoKy8qKpHG
Sweden,/playlist/37i9dQZEVXbLoATJ81JYXz,/playlist/37i9dQZEVXbIPOivNiyjjS,/playlist/37i9dQZEVXbKVvfnL1Us06
Switzerland,/playlist/37i9dQZEVXbJiyhoAPEfMK,/playlist/37i9dQZEVXbNjqq6Tw4Fb0,/playlist/37i9dQZEVXbKx6qX9uN66j
Taiwan,/playlist/37i9dQZEVXbMnZEatlMSiu,/playlist/37i9dQZEVXbMGnTCc4Vx7v,/playlist/37i9dQZEVXbMVY2FDHm6NN
Thailand,/playlist/37i9dQZEVXbMnz8KIWsvf9,/playlist/37i9dQZEVXbMnf7ONzeQWM,/playlist/37i9dQZEVXbJ7qiJCES5cj
Turkey,/playlist/37i9dQZEVXbIVYVBNw9D5K,/playlist/37i9dQZEVXbMIJZxwqzod6,/playlist/37i9dQZEVXbJARRcHjHcAr
UAE,/playlist/37i9dQZEVXbM4UZuIrvHvA,/playlist/37i9dQZEVXbN6kflPvZZn0,/playlist/37i9dQZEVXbIZQf3WEYSut
USA,/playlist/37i9dQZEVXbLRQDuF5jeBp,/playlist/37i9dQZEVXbKuaTI1Z1Afx,/playlist/37i9dQZEVXbLp5XoPON0wI
Ukraine,/playlist/37i9dQZEVXbKkidEfWYRuD,/playlist/37i9dQZEVXbLwLH0YjrtGb,/playlist/37i9dQZEVXbNcoJZ65xktI
United Kingdom,/playlist/37i9dQZEVXbLnolsZ8PSNw,/playlist/37i9dQZEVXbL3DLHfQeDmV,/playlist/37i9dQZEVXbMwmF30ppw50
Uruguay,/playlist/37i9dQZEVXbMJJi3wgRbAy,/playlist/37i9dQZEVXbM1qaaFAyPLz,
Venezuela,/playlist/37i9dQZEVXbNLrliB10ZnX,/playlist/37i9dQZEVXbNPLSoVD2b8U,/playlist/37i9dQZEVXbNvXzC8A6ysJ
Vietnam,/playlist/37i9dQZEVXbLdGSmz6xilI,/playlist/37i9dQZEVXbL1G1MbPav3j,/playlist/37i9dQZEVXbKZyn1mKjmIl
Andorra,,/playlist/37i9dQZEVXbMxjQJh4Um8T,
Cyprus,,/playlist/37i9dQZEVXbNBxnXSWuAcX,
